data,produto,categoria,preco,quantidade,regiao
2025-01-05,Mouse USB,Periféricos,59.90,12,sudeste
2025-01-06,Teclado Mecânico,Periféricos,249.90,5,sudeste
2025-01-08,Fone Bluetooth,Áudio,199.90,8,sul
2025-01-10,Webcam HD,Acessórios,149.90,6,sudeste
2025-01-12,Notebook i5,Computadores,3499.00,2,nordeste
2025-01-14,Monitor 24,Monitores,899.90,3,sul
2025-01-16,SSD 480GB,Armazenamento,219.90,7,sudeste
2025-01-18,HD 1TB,Armazenamento,289.90,4,norte
2025-01-20,Impressora WiFi,Impressão,799.90,2,sudeste
2025-01-22,Cabo HDMI,Acessórios,39.90,20,sul
2025-02-02,Mouse USB,Periféricos,59.90,10,sudeste
2025-02-03,Teclado Mecânico,Periféricos,249.90,3,nordeste
2025-02-05,Fone Bluetooth,Áudio,199.90,6,sudeste
2025-02-07,Webcam HD,Acessórios,149.90,5,centro-oeste
2025-02-10,Notebook i5,Computadores,3499.00,1,sul
2025-02-12,Monitor 24,Monitores,899.90,2,sudeste
2025-02-14,SSD 480GB,Armazenamento,219.90,8,sudeste
2025-02-16,HD 1TB,Armazenamento,289.90,3,centro-oeste
2025-02-20,Impressora WiFi,Impressão,799.90,1,nordeste
2025-02-22,Cabo HDMI,Acessórios,39.90,18,sudeste
2025-03-01,Mouse USB,Periféricos,59.90,7,norte
2025-03-03,Teclado Mecânico,Periféricos,249.90,4,sudeste
2025-03-05,Fone Bluetooth,Áudio,199.90,9,sul
2025-03-07,Webcam HD,Acessórios,149.90,3,sudeste
2025-03-09,Notebook i5,Computadores,3499.00,2,sudeste
2025-03-12,Monitor 24,Monitores,899.90,5,nordeste
2025-03-14,SSD 480GB,Armazenamento,219.90,6,sul
2025-03-18,HD 1TB,Armazenamento,289.90,2,sudeste
2025-03-22,Impressora WiFi,Impressão,799.90,2,centro-oeste
2025-03-25,Cabo HDMI,Acessórios,39.90,25,sul
